formula,formulaA,formulaB,stable
Ne,Ne,He,1
Cs,Cs,He,1
K,K,He,1
Ba,Ba,He,1
Sr,Sr,He,1
Br,Br,He,1
Na,Na,He,1
La,La,He,1
Pr,Pr,He,1
Ce,Ce,He,1
Te,Te,He,1
Pm,Pm,He,1
Gd,Gd,He,1
Y,Y,He,1
Tb,Tb,He,1
Dy,Dy,He,1
Lu,Lu,He,1
Tl,Tl,He,1
Sn,Sn,He,1
Sc,Sc,He,1
Mg,Mg,He,1
Li,Li,He,1
U,U,He,1
Np,Np,He,1
Ta,Ta,He,1
Nb,Nb,He,1
Mo,Mo,He,1
Pt,Pt,He,1
Re,Re,He,1
Pd,Pd,He,1
Ir,Ir,He,1
V,V,He,1
Ru,Ru,He,1
Mn,Mn,He,1
Be,Be,He,1
I,I,Ne,1
Sm,Sm,Ne,1
Th,Th,Ne,1
Sb,Sb,Ne,1
Tm,Tm,Ne,1
Se,Se,Ne,1
Pa,Pa,Ne,1
Hg,Hg,Ne,1
Cd,Cd,Ne,1
Si,Si,Ne,1
Ag,Ag,Ne,1
Zn,Zn,Ne,1
Cr,Cr,Ne,1
Cu,Cu,Ne,1
Fe,Fe,Ne,1
C,C,Ne,1
B,B,Ne,1
He,He,Ar,1
Kr,Kr,Ar,1
Xe,Xe,Ar,1
Bi,Bi,Ar,1
Nd,Nd,Ar,1
Er,Er,Ar,1
P,P,Ar,1
Al,Al,Ar,1
W,W,Ar,1
Tc,Tc,Ar,1
Yb,Yb,Kr,1
S,S,Kr,1
Ga,Ga,Kr,1
Rh,Rh,Kr,1
Co,Co,Kr,1
Ni,Ni,Kr,1
Pb,Pb,Xe,1
Zr,Zr,Xe,1
Ge,Ge,Xe,1
Os,Os,Xe,1
Ca,Ca,Cs,1
Ho,Ho,Cs,1
In,In,Cs,1
As,As,Cs,1
Ti,Ti,Cs,1
Eu,Eu,Rb,1
Ac,Ac,Rb,1
Ar,Ar,Rb,1
Au,Au,Rb,1
Rb,Rb,K,1
Ne0.9 He0.1,Ne,He,0
Cs0.9 He0.1,Cs,He,0
K0.9 He0.1,K,He,0
Ba0.9 He0.1,Ba,He,0
Sr0.9 He0.1,Sr,He,0
Br0.9 He0.1,Br,He,0
Na0.9 He0.1,Na,He,0
La0.9 He0.1,La,He,0
Pr0.9 He0.1,Pr,He,0
Ce0.9 He0.1,Ce,He,0
Te0.9 He0.1,Te,He,0
Pm0.9 He0.1,Pm,He,0
Gd0.9 He0.1,Gd,He,0
Y0.9 He0.1,Y,He,0
Tb0.9 He0.1,Tb,He,0
Dy0.9 He0.1,Dy,He,0
Lu0.9 He0.1,Lu,He,0
Tl0.9 He0.1,Tl,He,0
Sn0.9 He0.1,Sn,He,0
Sc0.9 He0.1,Sc,He,0
Mg0.9 He0.1,Mg,He,0
Li0.9 He0.1,Li,He,0
U0.9 He0.1,U,He,0
Np0.9 He0.1,Np,He,0
Ta0.9 He0.1,Ta,He,0
Nb0.9 He0.1,Nb,He,0
Mo0.9 He0.1,Mo,He,0
Pt0.9 He0.1,Pt,He,0
Re0.9 He0.1,Re,He,0
Pd0.9 He0.1,Pd,He,0
Ir0.9 He0.1,Ir,He,0
V0.9 He0.1,V,He,0
Ru0.9 He0.1,Ru,He,0
Mn0.9 He0.1,Mn,He,0
Be0.9 He0.1,Be,He,0
Cs0.9 Ne0.1,Cs,Ne,0
Sr0.9 Ne0.1,Sr,Ne,0
I0.9 Ne0.1,I,Ne,0
Br0.9 Ne0.1,Br,Ne,0
Pr0.9 Ne0.1,Pr,Ne,0
Sm0.9 Ne0.1,Sm,Ne,0
Pm0.9 Ne0.1,Pm,Ne,0
Gd0.9 Ne0.1,Gd,Ne,0
Th0.9 Ne0.1,Th,Ne,0
Sb0.9 Ne0.1,Sb,Ne,0
Tm0.9 Ne0.1,Tm,Ne,0
Tl0.9 Ne0.1,Tl,Ne,0
Se0.9 Ne0.1,Se,Ne,0
Sn0.9 Ne0.1,Sn,Ne,0
Sc0.9 Ne0.1,Sc,Ne,0
Pa0.9 Ne0.1,Pa,Ne,0
Hg0.9 Ne0.1,Hg,Ne,0
Mg0.9 Ne0.1,Mg,Ne,0
Cd0.9 Ne0.1,Cd,Ne,0
Si0.9 Ne0.1,Si,Ne,0
Np0.9 Ne0.1,Np,Ne,0
Ag0.9 Ne0.1,Ag,Ne,0
Zn0.9 Ne0.1,Zn,Ne,0
Ru0.9 Ne0.1,Ru,Ne,0
Cr0.9 Ne0.1,Cr,Ne,0
Cu0.9 Ne0.1,Cu,Ne,0
Fe0.9 Ne0.1,Fe,Ne,0
C0.9 Ne0.1,C,Ne,0
B0.9 Ne0.1,B,Ne,0
He0.9 Ar0.1,He,Ar,0
Ne0.9 Ar0.1,Ne,Ar,0
Kr0.9 Ar0.1,Kr,Ar,0
Ba0.9 Ar0.1,Ba,Ar,0
I0.9 Ar0.1,I,Ar,0
La0.9 Ar0.1,La,Ar,0
Xe0.9 Ar0.1,Xe,Ar,0
Bi0.9 Ar0.1,Bi,Ar,0
Pr0.9 Ar0.1,Pr,Ar,0
Nd0.9 Ar0.1,Nd,Ar,0
Pm0.9 Ar0.1,Pm,Ar,0
Y0.9 Ar0.1,Y,Ar,0
Er0.9 Ar0.1,Er,Ar,0
Sb0.9 Ar0.1,Sb,Ar,0
P0.9 Ar0.1,P,Ar,0
Sc0.9 Ar0.1,Sc,Ar,0
Pa0.9 Ar0.1,Pa,Ar,0
Ta0.9 Ar0.1,Ta,Ar,0
Al0.9 Ar0.1,Al,Ar,0
W0.9 Ar0.1,W,Ar,0
Zn0.9 Ar0.1,Zn,Ar,0
Tc0.9 Ar0.1,Tc,Ar,0
Ir0.9 Ar0.1,Ir,Ar,0
Cu0.9 Ar0.1,Cu,Ar,0
B0.9 Ar0.1,B,Ar,0
Ne0.9 Kr0.1,Ne,Kr,0
K0.9 Kr0.1,K,Kr,0
Yb0.9 Kr0.1,Yb,Kr,0
Nd0.9 Kr0.1,Nd,Kr,0
Sm0.9 Kr0.1,Sm,Kr,0
Er0.9 Kr0.1,Er,Kr,0
Sb0.9 Kr0.1,Sb,Kr,0
Lu0.9 Kr0.1,Lu,Kr,0
Tl0.9 Kr0.1,Tl,Kr,0
P0.9 Kr0.1,P,Kr,0
Se0.9 Kr0.1,Se,Kr,0
S0.9 Kr0.1,S,Kr,0
Pa0.9 Kr0.1,Pa,Kr,0
Ga0.9 Kr0.1,Ga,Kr,0
W0.9 Kr0.1,W,Kr,0
Mo0.9 Kr0.1,Mo,Kr,0
Zn0.9 Kr0.1,Zn,Kr,0
Tc0.9 Kr0.1,Tc,Kr,0
Rh0.9 Kr0.1,Rh,Kr,0
Mn0.9 Kr0.1,Mn,Kr,0
Fe0.9 Kr0.1,Fe,Kr,0
Co0.9 Kr0.1,Co,Kr,0
Ni0.9 Kr0.1,Ni,Kr,0
C0.9 Kr0.1,C,Kr,0
Be0.9 Kr0.1,Be,Kr,0
Ne0.9 Xe0.1,Ne,Xe,0
Kr0.9 Xe0.1,Kr,Xe,0
Ba0.9 Xe0.1,Ba,Xe,0
Sr0.9 Xe0.1,Sr,Xe,0
Na0.9 Xe0.1,Na,Xe,0
Bi0.9 Xe0.1,Bi,Xe,0
Ce0.9 Xe0.1,Ce,Xe,0
Pm0.9 Xe0.1,Pm,Xe,0
Gd0.9 Xe0.1,Gd,Xe,0
Y0.9 Xe0.1,Y,Xe,0
Th0.9 Xe0.1,Th,Xe,0
Dy0.9 Xe0.1,Dy,Xe,0
Pb0.9 Xe0.1,Pb,Xe,0
P0.9 Xe0.1,P,Xe,0
Sn0.9 Xe0.1,Sn,Xe,0
Hg0.9 Xe0.1,Hg,Xe,0
Zr0.9 Xe0.1,Zr,Xe,0
Mg0.9 Xe0.1,Mg,Xe,0
Ge0.9 Xe0.1,Ge,Xe,0
Si0.9 Xe0.1,Si,Xe,0
Np0.9 Xe0.1,Np,Xe,0
Ta0.9 Xe0.1,Ta,Xe,0
Ag0.9 Xe0.1,Ag,Xe,0
W0.9 Xe0.1,W,Xe,0
Mo0.9 Xe0.1,Mo,Xe,0
Pt0.9 Xe0.1,Pt,Xe,0
Zn0.9 Xe0.1,Zn,Xe,0
Re0.9 Xe0.1,Re,Xe,0
Pd0.9 Xe0.1,Pd,Xe,0
Ir0.9 Xe0.1,Ir,Xe,0
Os0.9 Xe0.1,Os,Xe,0
V0.9 Xe0.1,V,Xe,0
Rh0.9 Xe0.1,Rh,Xe,0
Cr0.9 Xe0.1,Cr,Xe,0
Ni0.9 Xe0.1,Ni,Xe,0
C0.9 Xe0.1,C,Xe,0
Be0.9 Xe0.1,Be,Xe,0
B0.9 Xe0.1,B,Xe,0
K0.9 Cs0.1,K,Cs,0
Ba0.9 Cs0.1,Ba,Cs,0
Sr0.9 Cs0.1,Sr,Cs,0
Yb0.9 Cs0.1,Yb,Cs,0
Ca0.9 Cs0.1,Ca,Cs,0
Br0.9 Cs0.1,Br,Cs,0
Na0.9 Cs0.1,Na,Cs,0
Xe0.9 Cs0.1,Xe,Cs,0
Bi0.9 Cs0.1,Bi,Cs,0
Ce0.9 Cs0.1,Ce,Cs,0
