formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
As,Ni,21.72396574,10.94128444,74.9216,58.6934,887.0,3186.0,22.0,180.0,15,10,119,124,5727.0,8908.0,1.44,1.75,2.18,1.91,9.7886,7.6398,0.0,0.0,-4.650889115,-5.54632457,3.539684396,2.74306794,4.459722881,3.456049039,0.0,0.5953946999999999,22.175,10.32,3300,1000,4000,1500,0.32899999999999996,0.444,24.64,26.07,24.44,17.48,21.52,10.86,0,0,0,1,0,0,1,1,1,0,0,0,1090.0,1728.0,84,61,115,126,3,2,15,10,0,2,10,8,0,0,0,0,3,0,3,0,0,0,2,2,33,28,4.31,6.8,4,4,0.0,76.0,166,225,3.0,12.0,2.5579,2.4805599999999997,"[1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0]"
Cr,Ru,12.09293747,13.56787441,51.9961,101.07,2944.0,4423.0,160.0,220.0,6,8,139,146,7140.0,12370.0,1.73,1.83,1.66,2.2,6.76651,7.3605,0.0,0.0,-9.50571654,-9.19463357,2.8180802789999997,3.000740558,3.550558664,3.780696194,0.0,0.0,11.19,13.51,3100,3200,4100,8000,0.449,0.23800000000000002,23.35,24.06,21.0,38.59,12.01,14.03,0,0,1,1,0,0,1,1,0,0,0,0,2180.0,2607.0,49,56,130,134,6,4,6,8,5,3,5,7,0,0,0,0,0,0,0,0,1,1,1,1,24,44,11.6,9.6,4,5,115.0,173.0,229,194,8.0,12.0,2.46785,2.66567,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Nd,Sr,34.16905488,55.32313078,144.24200000000002,87.62,3373.0,1655.0,32.0,0.0,3,2,201,195,7010.0,2630.0,1.2,0.84,1.14,0.95,5.525,5.69485,0.0,0.0,-4.76235134,-1.6828136000000002,4.1138142,4.768954732,5.183081107,6.008506453,0.0,0.0,34.81,54.23,9500,4200,3100,3000,0.19,0.306,27.45,26.79,7.14,7.43,34.2,56.08,0,1,0,0,1,0,1,1,0,0,0,0,1294.0,1050.0,19,8,182,212,10,0,6,2,0,0,0,0,10,0,4,0,0,0,0,0,0,0,2,2,60,38,31.4,25.55,6,5,16.0,6.1,194,225,12.0,12.0,3.6671,4.26546,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Sr,Bi,55.32313078,35.48345908,87.62,208.9804,1655.0,1837.0,0.0,31.0,2,15,195,148,2630.0,9780.0,0.84,1.16,0.95,2.02,5.69485,7.2855,0.0,0.0,-1.6828136000000002,-3.9736943999999994,4.768954732,4.039197959,6.008506453,5.089070533,0.0,0.0,54.23,32.95,4200,5300,3000,6000,0.306,0.122,26.79,25.52,7.43,11.106,56.08,35.38,1,0,0,0,0,0,1,1,0,0,0,0,1050.0,544.4,8,86,212,162,0,3,2,29,0,0,0,10,0,0,0,14,0,3,0,3,0,0,2,2,38,83,25.55,0.4,5,6,6.1,12.0,225,12,12.0,3.0,4.26546,3.1122099999999997,"[1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0]"
Pt,W,15.36046351,15.85873442,195.084,183.84,4098.0,5828.0,230.0,310.0,10,6,136,162,21090.0,19250.0,1.78,1.81,2.28,2.36,8.9588,7.8640300000000005,0.0,0.0,-6.02850968,-12.95880062,3.108612885,3.1781057510000004,3.91660681,4.004162334,0.0,0.0,15.02,16.05,5500,7000,9100,4300,0.133,0.132,25.86,24.27,22.175,52.31,15.1,15.85,0,0,1,1,0,0,1,1,0,0,0,0,2041.4,3695.0,63,51,139,135,2,6,24,20,1,6,9,4,0,0,14,14,0,0,0,0,1,0,1,2,78,74,6.5,11.1,6,6,61.0,161.0,225,229,12.0,8.0,2.812,2.76038,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0]"
Nd,Ta,34.16905488,18.04672956,144.24200000000002,180.94788,3373.0,5731.0,32.0,200.0,3,5,201,170,7010.0,16650.0,1.2,1.63,1.14,1.5,5.525,7.54957,0.0,0.0,-4.76235134,-11.85139954,4.1138142,3.309248619,5.183081107,4.169391995,0.0,0.0,34.81,18.12,9500,2300,3100,4800,0.19,0.14,27.45,25.36,7.14,36.57,34.2,17.65,0,0,0,1,1,0,1,1,0,0,0,0,1294.0,3290.0,19,48,182,145,10,7,6,19,0,7,0,3,10,0,4,14,0,0,0,0,0,0,2,2,60,73,31.4,13.1,6,6,16.0,69.0,194,229,12.0,8.0,3.6671,2.8727,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Gd,Eu,33.04972431,48.12129236,157.25,151.964,3523.0,1800.0,38.0,8.3,3,3,196,198,7901.0,5244.0,1.21,0.88,1.2,1.185,6.1498,5.670380000000001,0.0,0.0,-4.65442131,-1.82958684,4.002082249,4.177811939,5.0423076689999995,5.263713205,0.0,0.0,32.05,36.46,9500,9500,3100,3100,0.235,0.182,37.03,27.66,9.67,9.21,32.98,48.53,0,0,0,0,1,1,1,1,0,0,0,0,1586.0,1095.0,27,25,176,196,16,7,10,9,9,0,1,0,7,7,7,7,0,0,0,0,0,0,2,2,64,63,23.5,27.7,6,6,22.0,7.9,194,229,12.0,12.0,3.58601,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Y,Sn,33.01321288,26.96678526,88.90585,118.71,3618.0,2875.0,41.0,58.0,3,14,190,139,4472.0,7310.0,1.21,1.24,1.22,1.96,6.2173,7.34392,0.0,0.0,-6.464599775,-3.96104709,4.015150874,4.052840562,5.058773104,5.106259136,0.0,0.0,32.365,33.285,9800,2600,2600,1600,0.298,0.22699999999999998,26.53,26.99,11.39,7.15,32.97,27.05,0,0,1,0,0,0,1,1,0,0,0,0,1799.0,505.08,12,80,179,155,9,4,3,14,9,0,1,10,0,0,0,0,0,4,0,2,0,0,2,2,39,50,22.7,7.06,5,5,26.0,18.0,194,141,12.0,4.0,3.5339099999999997,2.87792,"[1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0]"
K,Pa,75.84786468,24.96116063,39.0983,231.03586,1032.0,4273.0,3.1,0.0,1,3,203,200,856.0,15370.0,0.65,0.0,0.82,1.5,4.3406633,5.89,0.0,0.0,-1.097539713,-9.49741247,5.268200874,3.692852039,6.637517176,4.652702018,0.0,0.0,73.10666667,25.18,1700,0,7200,0,0.757,0.0,29.6,0.0,2.335,12.34,75.63,24.94,1,0,0,0,0,1,1,1,0,0,0,0,336.53,1845.0,3,18,230,165,1,21,1,5,0,9,0,1,0,12,0,2,0,0,0,0,1,0,1,2,19,91,43.23,25.4,4,7,1.3,0.0,229,139,8.0,12.0,4.57083,3.29125,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Co,Mo,10.99586068,15.50088069,58.933195,95.96,3200.0,4912.0,180.0,230.0,9,6,126,154,8900.0,10280.0,1.75,1.77,1.88,2.16,7.881010000000001,7.09243,0.0,0.0,-7.080389145,-10.84610777,2.7364067480000003,3.154164308,3.447656463,3.973998007,1.5484712,0.0,10.245,15.69,3100,2400,2700,5300,0.42100000000000004,0.251,24.81,24.06,16.2,37.48,11.12,15.59,0,0,1,1,0,0,1,1,0,0,0,0,1768.0,2896.0,58,50,125,139,3,6,9,6,3,5,7,5,0,0,0,0,0,0,0,0,0,1,2,1,27,42,7.5,12.8,4,5,75.0,20.0,194,229,12.0,8.0,2.4802400000000002,2.74324,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0]"
