,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,4114,0.770057047693289,0.019601213142702297,0.39292962140791027,0.0397046753247695,0.595922912671801,0.0471511793328932,0.2941171480977525,0.03751544347914933
1,GaussianNB,8228,0.7457509615583601,0.025916257463721074,0.38944023579386816,0.026976025282798164,0.643349147555069,0.03397258422989522,0.2801960070162376,0.026961940468536227
2,GaussianNB,12342,0.7490664636907066,0.014397547903387153,0.38999131001403786,0.031892755985105894,0.6391512980143881,0.041355875293088755,0.2810666193863268,0.027180243077279287
3,GaussianNB,16456,0.7439256260918058,0.015175106778301833,0.38961251926734425,0.0286999894270093,0.6513665027509871,0.0633749537104083,0.2789048437538289,0.023668441841814665
4,GaussianNB,20570,0.7482741857073407,0.014338883974821392,0.3916131080985014,0.02173025814332172,0.6487370517533938,0.049388209876818884,0.28080999199611845,0.01608216735576522
5,SVC,4114,0.8750643705855952,0.011775519551164414,0.0,0.0,0.0,0.0,0.0,0.0
6,SVC,8228,0.8740914345179496,0.011640736830752854,0.0,0.0,0.0,0.0,0.0,0.0
7,SVC,12342,0.874332836829638,0.0092595012415725,0.0,0.0,0.0,0.0,0.0,0.0
8,SVC,16456,0.8736050552689212,0.013831174204836184,0.0,0.0,0.0,0.0,0.0,0.0
9,SVC,20570,0.8750607681088965,0.0028011395801435077,0.0,0.0,0.0,0.0,0.0,0.0
10,RandomForestClassifier,4114,0.8850264569012355,0.013492665739092097,0.3398049877787489,0.08084498473466738,0.24110259032048037,0.06749284574531753,0.5953258697823915,0.087391410491465
11,RandomForestClassifier,8228,0.8940213390568598,0.01351196001090911,0.4183745253082578,0.05520283113317318,0.30353759633693805,0.04567092604153689,0.6842001030346887,0.09926623956894144
12,RandomForestClassifier,12342,0.8995307711992861,0.008004543142009369,0.47090566299257447,0.041551215827589486,0.35782102238116575,0.04403032563119166,0.6951633166174392,0.05071573592038325
13,RandomForestClassifier,16456,0.9010716224650714,0.009648187916902135,0.48871085828505556,0.041122829652076774,0.3768776486959862,0.04327292139790135,0.7017748722702264,0.04994411852361839
14,RandomForestClassifier,20570,0.9060768108896451,0.003324321049543743,0.520810897076383,0.03017329279186606,0.4093573084535082,0.028393524099901087,0.7169114683805986,0.03868395933341812
15,LogisticRegression,4114,0.87505137835731,0.015482164849112646,0.22491664333534672,0.07928014930874029,0.14574437721978287,0.05235757645347487,0.5244406689801426,0.1858081855303477
16,LogisticRegression,8228,0.8778590285969378,0.013509261724740443,0.22407776021006995,0.06570327700284488,0.1421226737288092,0.04760163649658326,0.5642186793321704,0.1278690327285419
17,LogisticRegression,12342,0.8793560325198986,0.010373773138593133,0.22280369190839777,0.0324892116158359,0.13741405411122282,0.01825382891975559,0.5994746730432214,0.14065249288100454
18,LogisticRegression,16456,0.8790130998238338,0.012474394159679698,0.21808192199973853,0.033970254417933686,0.1345779185131472,0.02656952300463184,0.6009210768479052,0.0669943460726977
19,LogisticRegression,20570,0.8798736023334953,0.004005609539156925,0.2079899554341395,0.038335705325391024,0.12662301227336176,0.024877176027471228,0.5876973234601731,0.08929940871197625
20,DummyClassifier,4114,0.8750643705855952,0.011775519551164414,0.0,0.0,0.0,0.0,0.0,0.0
21,DummyClassifier,8228,0.8740914345179496,0.011640736830752854,0.0,0.0,0.0,0.0,0.0,0.0
22,DummyClassifier,12342,0.874332836829638,0.0092595012415725,0.0,0.0,0.0,0.0,0.0,0.0
23,DummyClassifier,16456,0.8736050552689212,0.013831174204836184,0.0,0.0,0.0,0.0,0.0,0.0
24,DummyClassifier,20570,0.8750607681088965,0.0028011395801435077,0.0,0.0,0.0,0.0,0.0,0.0
