type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std,feature_set
GaussianNB,871,0.837906823,0.024406909,0.434622865,0.118144674,0.403073177,0.155006311,0.504208896,0.123970741,cmpd
SVC,871,0.841123493,0.032732697,0.44777438,0.100871424,0.41402306,0.152467876,0.569234654,0.181881029,cmpd
RandomForestClassifier,871,0.860533107,0.031325239,0.478418268,0.090405046,0.4004329,0.112986691,0.62252886,0.111695017,cmpd
LogisticRegression,871,0.842228955,0.039396669,0.361698653,0.111672949,0.282360556,0.107261864,0.563506494,0.134269722,cmpd
GaussianNB,871,0.784934501,0.04395376,0.450676184,0.058316678,0.544818931,0.122744118,0.415046983,0.117923021,std+cmpd
SVC,871,0.8328886,0.046795905,0,0,0,0,0,0,std+cmpd
RandomForestClassifier,871,0.91909932,0.040054664,0.69915615,0.100447597,0.555793373,0.119530485,0.965909091,0.055670221,std+cmpd
LogisticRegression,871,0.881271504,0.047110331,0.635464667,0.085796255,0.608983516,0.10911672,0.689126845,0.147479195,std+cmpd
GaussianNB,871,0.776870683,0.050039495,0.443137653,0.06351472,0.544818931,0.122744118,0.405513557,0.129671794,std+ele
SVC,871,0.8328886,0.046795905,0,0,0,0,0,0,std+ele
RandomForestClassifier,871,0.908942134,0.037429895,0.667203788,0.070172888,0.540065351,0.097242022,0.901031746,0.098707954,std+ele
LogisticRegression,871,0.871350702,0.044121331,0.610603225,0.096454165,0.600650183,0.099947419,0.660462364,0.201056346,std+ele
GaussianNB,871,0.784934501,0.04395376,0.450676184,0.058316678,0.544818931,0.122744118,0.415046983,0.117923021,std+cmpd+ele
SVC,871,0.8328886,0.046795905,0,0,0,0,0,0,std+cmpd+ele
RandomForestClassifier,871,0.911240984,0.03934139,0.683456011,0.072530157,0.560509491,0.088319981,0.891031746,0.092433575,std+cmpd+ele
LogisticRegression,871,0.882407868,0.045406972,0.636287612,0.083747748,0.605412088,0.096969662,0.68978474,0.137227805,std+cmpd+ele
GaussianNB,871,0.83908715,0.025904093,0.446915964,0.110381981,0.416725774,0.145632083,0.510490501,0.122647987,cmpd+ele
SVC,871,0.858151107,0.041435808,0.427822737,0.110224495,0.332269397,0.129481118,0.695634921,0.191557502,cmpd+ele
RandomForestClassifier,871,0.867626857,0.035856642,0.480334797,0.124156212,0.392117882,0.154484456,0.719292929,0.176842024,cmpd+ele
LogisticRegression,871,0.840057216,0.027538833,0.359781645,0.107170807,0.285824176,0.110234544,0.540459851,0.179045062,cmpd+ele
GaussianNB,871,0.77922656,0.05027834,0.44603062,0.06834967,0.54481893,0.12274412,0.40977744,0.13160345,std
SVC,871,0.8328886,0.0467959,0,0,0,0,0,0,std
RandomForestClassifier,871,0.90656013,0.0427462,0.65164321,0.10369823,0.509754,0.10260401,0.92590909,0.12676305,std
LogisticRegression,871,0.87592228,0.04420121,0.61712747,0.09566717,0.59610473,0.10589035,0.6883547,0.20971161,std
