,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,4114,0.8950,0.0230,0.2856,0.0467,0.4720,0.0796,0.2097,0.0475
1,GaussianNB,8228,0.8194,0.0124,0.4250,0.0461,0.5925,0.0575,0.3322,0.0418
2,GaussianNB,12342,0.7580,0.0191,0.4258,0.0228,0.6737,0.0417,0.3118,0.0207
3,GaussianNB,16456,0.7343,0.0227,0.3979,0.0225,0.6603,0.0445,0.2852,0.0189
4,GaussianNB,20570,0.7483,0.0143,0.3916,0.0217,0.6487,0.0494,0.2808,0.0161
5,SVC,4114,0.9558,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,SVC,8228,0.8869,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,SVC,12342,0.8670,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,SVC,16456,0.8670,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,SVC,20570,0.8751,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,RandomForestClassifier,4114,0.9742,0.0073,0.6170,0.0779,0.4699,0.0847,0.9161,0.0803
11,RandomForestClassifier,8228,0.9248,0.0081,0.5847,0.0622,0.4731,0.0562,0.7698,0.0869
12,RandomForestClassifier,12342,0.9140,0.0059,0.6068,0.0288,0.4991,0.0264,0.7754,0.0485
13,RandomForestClassifier,16456,0.9044,0.0077,0.5467,0.0351,0.4348,0.0341,0.7381,0.0432
14,RandomForestClassifier,20570,0.9064,0.0059,0.5197,0.0507,0.4074,0.0477,0.7201,0.0515
15,LogisticRegression,4114,0.9720,0.0074,0.5844,0.0757,0.4449,0.0813,0.8757,0.1012
16,LogisticRegression,8228,0.8935,0.0098,0.3297,0.0570,0.2332,0.0466,0.5733,0.0997
17,LogisticRegression,12342,0.8764,0.0080,0.3039,0.0273,0.2030,0.0225,0.6175,0.0835
18,LogisticRegression,16456,0.8751,0.0083,0.2522,0.0348,0.1592,0.0260,0.6158,0.0524
19,LogisticRegression,20570,0.8809,0.0040,0.2168,0.0437,0.1324,0.0286,0.6030,0.0889
20,DummyClassifier,4114,0.9558,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,DummyClassifier,8228,0.8869,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,DummyClassifier,12342,0.8670,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,DummyClassifier,16456,0.8670,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,DummyClassifier,20570,0.8751,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
